Using gender, firstgen, famincome, firstlang
below threshold:  1317  above:  1343
train_data_percent,test_data_percent,train_instance_count,,clf_train_acc,clf_test_acc,base_train_acc,base_test_acc
0.005,0.995,9,,1.0,0.544360902256,0.666666666667,0.514285714286
0.01,0.99,19,,0.894736842105,0.56992481203,0.315789473684,0.500751879699
0.015,0.985,29,,0.586206896552,0.512781954887,0.551724137931,0.527819548872
0.02,0.98,39,,0.641025641026,0.574436090226,0.410256410256,0.514285714286
0.025,0.975,49,,0.775510204082,0.551879699248,0.571428571429,0.508270676692
0.03,0.97,59,,0.677966101695,0.551879699248,0.559322033898,0.503759398496
0.035,0.965,69,,0.63768115942,0.545864661654,0.405797101449,0.482706766917
0.04,0.96,79,,0.708860759494,0.55037593985,0.455696202532,0.499248120301
0.045,0.955,89,,0.707865168539,0.538345864662,0.550561797753,0.502255639098
0.05,0.95,99,,0.676767676768,0.544360902256,0.545454545455,0.542857142857
0.055,0.945,109,,0.633027522936,0.542857142857,0.532110091743,0.50977443609
0.06,0.94,119,,0.647058823529,0.529323308271,0.546218487395,0.491729323308
0.065,0.935,129,,0.651162790698,0.535338345865,0.457364341085,0.511278195489
0.07,0.93,139,,0.676258992806,0.566917293233,0.539568345324,0.532330827068
0.075,0.925,149,,0.671140939597,0.563909774436,0.503355704698,0.499248120301
0.08,0.92,159,,0.660377358491,0.574436090226,0.559748427673,0.505263157895
0.085,0.915,169,,0.644970414201,0.58045112782,0.497041420118,0.494736842105
0.09,0.91,179,,0.631284916201,0.577443609023,0.502793296089,0.491729323308
0.095,0.905,189,,0.634920634921,0.593984962406,0.433862433862,0.481203007519
0.1,0.9,199,,0.628140703518,0.590977443609,0.502512562814,0.508270676692
0.105,0.895,209,,0.631578947368,0.596992481203,0.521531100478,0.505263157895
0.11,0.89,219,,0.602739726027,0.590977443609,0.48401826484,0.487218045113
0.115,0.885,229,,0.61135371179,0.592481203008,0.524017467249,0.518796992481
0.12,0.88,239,,0.606694560669,0.589473684211,0.489539748954,0.473684210526
0.125,0.875,249,,0.606425702811,0.587969924812,0.5140562249,0.52030075188
0.13,0.87,259,,0.633204633205,0.58045112782,0.494208494208,0.457142857143
0.135,0.865,269,,0.617100371747,0.584962406015,0.505576208178,0.494736842105
0.14,0.86,279,,0.63082437276,0.58045112782,0.440860215054,0.518796992481
0.145,0.855,289,,0.622837370242,0.583458646617,0.453287197232,0.505263157895
0.15,0.85,299,,0.628762541806,0.58045112782,0.511705685619,0.475187969925
0.155,0.845,309,,0.611650485437,0.586466165414,0.533980582524,0.473684210526
0.16,0.84,319,,0.614420062696,0.592481203008,0.53605015674,0.511278195489
0.165,0.835,329,,0.61094224924,0.590977443609,0.501519756839,0.511278195489
0.17,0.83,339,,0.613569321534,0.586466165414,0.507374631268,0.493233082707
0.175,0.825,349,,0.613180515759,0.589473684211,0.47564469914,0.496240601504
0.18,0.82,359,,0.610027855153,0.592481203008,0.548746518106,0.491729323308
0.185,0.815,369,,0.612466124661,0.6,0.512195121951,0.461654135338
0.19,0.81,379,,0.591029023747,0.589473684211,0.527704485488,0.530827067669
0.195,0.805,389,,0.601542416452,0.590977443609,0.485861182519,0.515789473684
