Using all features
below threshold:  319  above:  350
train_data_percent,test_data_percent,train_instance_count,,clf_train_acc,clf_test_acc,base_train_acc,base_test_acc
0.005,0.995,2,,1.0,0.434523809524,0.5,0.488095238095
0.01,0.99,5,,1.0,0.619047619048,0.6,0.577380952381
0.015,0.985,7,,1.0,0.60119047619,0.857142857143,0.494047619048
0.02,0.98,10,,0.9,0.625,0.4,0.47619047619
0.025,0.975,12,,1.0,0.607142857143,0.416666666667,0.517857142857
0.03,0.97,15,,0.933333333333,0.583333333333,0.533333333333,0.47619047619
0.035,0.965,17,,0.941176470588,0.583333333333,0.588235294118,0.52380952381
0.04,0.96,20,,0.95,0.571428571429,0.35,0.5
0.045,0.955,22,,0.954545454545,0.553571428571,0.5,0.5
0.05,0.95,25,,0.84,0.541666666667,0.64,0.464285714286
0.055,0.945,27,,0.814814814815,0.565476190476,0.407407407407,0.511904761905
0.06,0.94,30,,0.833333333333,0.589285714286,0.4,0.488095238095
0.065,0.935,32,,0.78125,0.595238095238,0.65625,0.470238095238
0.07,0.93,35,,0.8,0.565476190476,0.6,0.452380952381
0.075,0.925,37,,0.810810810811,0.559523809524,0.432432432432,0.52380952381
0.08,0.92,40,,0.775,0.589285714286,0.55,0.517857142857
0.085,0.915,42,,0.785714285714,0.565476190476,0.47619047619,0.547619047619
0.09,0.91,45,,0.8,0.571428571429,0.555555555556,0.482142857143
0.095,0.905,47,,0.723404255319,0.636904761905,0.510638297872,0.52380952381
0.1,0.9,50,,0.74,0.619047619048,0.56,0.529761904762
0.105,0.895,52,,0.75,0.630952380952,0.480769230769,0.553571428571
0.11,0.89,55,,0.690909090909,0.654761904762,0.527272727273,0.482142857143
0.115,0.885,57,,0.684210526316,0.64880952381,0.456140350877,0.458333333333
0.12,0.88,60,,0.683333333333,0.660714285714,0.616666666667,0.410714285714
0.125,0.875,62,,0.693548387097,0.666666666667,0.41935483871,0.511904761905
0.13,0.87,65,,0.707692307692,0.666666666667,0.507692307692,0.511904761905
0.135,0.865,67,,0.701492537313,0.660714285714,0.507462686567,0.559523809524
0.14,0.86,70,,0.714285714286,0.654761904762,0.514285714286,0.565476190476
0.145,0.855,72,,0.708333333333,0.654761904762,0.430555555556,0.464285714286
0.15,0.85,75,,0.706666666667,0.654761904762,0.506666666667,0.535714285714
0.155,0.845,77,,0.714285714286,0.64880952381,0.506493506494,0.5
0.16,0.84,80,,0.725,0.654761904762,0.55,0.494047619048
0.165,0.835,82,,0.731707317073,0.64880952381,0.548780487805,0.446428571429
0.17,0.83,85,,0.705882352941,0.654761904762,0.517647058824,0.452380952381
0.175,0.825,87,,0.689655172414,0.660714285714,0.528735632184,0.541666666667
0.18,0.82,90,,0.677777777778,0.660714285714,0.477777777778,0.571428571429
0.185,0.815,92,,0.673913043478,0.64880952381,0.5,0.452380952381
0.19,0.81,95,,0.694736842105,0.660714285714,0.494736842105,0.494047619048
0.195,0.805,97,,0.680412371134,0.660714285714,0.525773195876,0.470238095238
