Subjnum,gender,Firgen,famincome,SATCRDG,SATMATH,SATWRTG,SATTotal,HSGPA,ACTRead,ACTMath,ACTEngWrit,APIScore,FirstLang,HSGPAunweighted,Firststyrunitsforgpa,Firststyeartotcumunits,Firstyrcumgpa
1,Female,0,87000,700,610,710,2020,3.42, , , ,10,EnglishandAnother,3.14,45,83.75,4
2,Female,300,10000,490,510,510,1510,3.5,16,25,23,6,English,3.41,45,50,1.9
3,Female,0,120000,550,420,590,1560,3.57, , , ,8,English,3.42,47,47,3.79
4,Male,0,170000,620,630,570,1820,3.95, , , ,9,Another,3.59,42,47,2.85
5,Female,300, ,620,570,660,1850,3.75, , , ,10,English,3.46,42,67,3.9
6,Male,300,60000,550,640,570,1760,3.71, , , ,7,EnglishandAnother,3.42,32,22,0.66
7,Male,0, ,440,470,410,1320,3.5,14,22,17,6,Another,3.5,30,30,0
8,Male,300,22000,360,380,370,1110,3.52, , , ,9,EnglishandAnother,3.43, , , 
9,Male,0,120000,700,550,670,1920,3.72,32,29,30,8,English,3.45,52,72,3.23
10,Male,0, ,600,680,600,1880,3.44, , , ,10,English,3.12,25,61,0
11,Female,300,48000,590,470,570,1630,4,33,24,29, ,English,4,43,51,3.33
12,Female,0,155000,600,580,540,1720,3.96,32,26,24,10,English,3.75,35,47,2.76
13,Female,0, ,620,620,630,1870,3.75,31,25,25, ,English,3.52,39,74,4
14,Male,0,48116,610,640,530,1780,3.39, , , , ,English,3.19,40,103,3.66
15,Female,0, , , , , ,3.24,22,24,23, ,English,3.24,40,45,3
16,Female,300,40000,670,640,670,1980,3.85, , , ,4,English,3.45,30,42,0
17,Female,0, ,660,640,690,1990,3.38, , , ,,English,3,44,64,3.55
18,Male,300,8975,500,450,510,1460,3.57, , , ,6,English,3.42,37,51,2.65
19,Male,300,75000,540,610,570,1720,4.17, , , ,9,English,3.91,47,67,4
20,Male,300,33000,610,680,490,1780,3.81, , , ,6,English,3.63,48,52,3.98
21,Female,300,77600,800,800,650,2250,4.11, , , ,10,Another,3.8,81,141,3.68
22,Female,0,999000,630,740,630,2000,3.73, , , ,10,English,3.42, , , 
23,Female,300,200000,530,340,510,1380,3.82, , , ,7,English,3.6,40,35,1.33
24,Female,300,29005,430,470,530,1430,4.27,19,20,18, ,English,4, , , 
25,Female,300,22000,630,500,560,1690,3.7, , , , ,English,3.7, , , 
26,Female,0,110000,480,460,490,1430,3.2, , , ,10,EnglishandAnother,3.12,35,52.5,3.5
27,Male,300,41235,610,640,540,1790,4.04,31,32,26,8,English,3.86,45,65,3.9
28,Male,0,56000,410,430,370,1210,3.3, , , ,3,English,3.3,42,46.5,2.56
29,Male,0,120000,700,660,560,1920,4.3, , , ,3,English,3.9,45,77,3.43
30,Male,0,16572,560,690,600,1850,3.41, , , ,4,English,3.16,47,52,2.38
31,Male,300,24000,400,520,400,1320,3.65, , , ,2,Another,3.65,32,42,3.5
32,Male,0,17286,450,560,430,1440,4.18, , , ,7,Another,3.81,40,45,3.23
33,Male,0,30000,410,400,390,1200,3.92, , , ,,EnglishandAnother,3.6,35,47,2
34,Female,300,27000, , , , ,3.53,29,27,30,10,EnglishandAnother,3.53, , , 
35,Male,0,60000, , , , ,3.43, , , , ,Another,3.43,45,63,3.91
36,Male,0,65000,730,740,610,2080,3.48, , , , ,English,3.16,49,65,3.23
37,Female,300,85000,650,570,630,1850,3.6, , , ,,English,3.52,40,48,3.76
38,Female,300,0,630,620,630,1880,4.29, , , ,8,English,4,45,59,4
39,Male,0,400000,590,530,610,1730,3.95, , , ,8,English,3.85,42,42,2.04
40,Male,0,60000,600,640,590,1830,4.12, , , ,7,English,3.79,53,81,3.73
41,Female,0,200000,530,790,600,1920,, , , , ,Another, ,35,57,3.35
42,Female,0,22800, , , , ,4.04,23,34,23,10,Another,4,44,76.5,3.43
43,Female,0,36000,650,590,630,1870,4.11, , , ,8,English,3.96,49,83,3.54
44,Female,0,150000, , , , ,3.65,33,26,26,10,English,3.35,45,45,2.9
45,Male,300,102000,500,470,470,1440,3.8,21,22,24,,English,3.5,46,54,2.8
46,Female,300,22000,520,620,560,1700,4, , , ,8,EnglishandAnother,3.95,49,44,2.23
47,Female,0,55000, , , , ,4.05,18,25,21,8,English,3.95,45,45,3.56
48,Female,0,250000,750,630,650,2030,3.62,36,26,31,9,English,3.29,49,85,3.5
49,Male,0,99487,700,730,780,2210,3.07, , , ,10,Another,2.84,51,69,3.39
50,Female,0,98000,370,520,440,1330,3.76,18,23,20,7,English,3.61, , , 
51,Female,300,24000, , , , ,3.68,20,17,21,2,EnglishandAnother,3.59,35,45,3.85
52,Female,0,8000,580,390,510,1480,4,24,16,21,4,English,3.8,38,54,3
55,Female,0,150000, , , , ,3.61,30,22, , ,English,3.31,40,73,3.66
56,Female,0,39690,560,650,590,1800,4, , , ,8,English,3.63,45,45,2.66
57,Female,0,63000,600,550,720,1870,4.04, , , ,7,English,3.68,46,66,3
58,Male,0,290000,640,690,600,1930,3.71,27,32,29,7,English,3.59,41,61,3.15
59,Female,0,170000,670,640,580,1890,4.18, , , ,8,Another,3.81,45,69,3.33
60,Female,0,90000,570,620,640,1830,4.35,29,25,30,8,English,3.95,47,51.5,4
61,Male,0,230000,640,750,670,2060,4, , , ,10,English,3.72,54,78,3.44
62,Female,0,550000,710,610,680,2000,3.63, , , ,,English,3.5,45,57,3.17
63,Male,0,202000,640,610,710,1960,3.65, , , ,10,English,3.43,48,76,3.59
64,Male,0,140000,670,660,600,1930,3.86, , , ,7,English,3.5,47,71,2.62
65,Male,300,52000,610,600,610,1820,3.9, , , ,8,EnglishandAnother,3.72,45,45,2.33
66,Male,0,135000,730,640,570,1940,3.9, , , ,,English,3.63,40,65,3.66
67,Male,0,29098,400,630,370,1400,, , , ,3,Another, ,38,50,4
68,Male,0,72000,590,590,570,1750,3.86, , , ,10,English,3.66,42,65,2.2
70,Male,300,35498,570,560,630,1760,3.5, , , ,7,EnglishandAnother,3.31,43,59,3.8
71,Female,0,118000,680,780,610,2070,3.69, , , ,10,English,3.38,47,79,2.9
72,Male,0,150000,360,580,360,1300,3.18, , , ,,Another,3,35,35,2.5
73,Female,0, ,750,670,720,2140,4.12, , , ,10,English,3.79,45,71,3.66
74,Male,0,170000,740,690,740,2170,3.5, , , ,8,English,3.16,42,94,2.75
75,Male,0,224000,520,480,550,1550,3.44,16,24, , ,English,3.36,48,52,3.32
76,Female,0,180000,730,530,760,2020,3.81, , , ,7,English,3.54,45,83,3.43
77,Female,0,150000,480,580,540,1600,3.84, , , ,10,EnglishandAnother,3.61,35,57,3.85
78,Male,300,30900,520,550,560,1630,3.54,22,22, ,4,EnglishandAnother,3.2,45,77,3.66
79,Male,0,213000,560,650,700,1910,3.59,24,28,27,9,EnglishandAnother,3.22,42,78,1.38
81,Male,0,150000, , , , ,3.15,24,22,19, ,English,3.05,43,43,2.66
82,Male,300,31636,410,550,360,1320,3.94, , , ,7,Another,3.83,27,44,3.51
83,Male,300, ,500,630,490,1620,3.86,20,30,20, ,English,3.66,35,49,2
84,Female,0,240000, , , , ,4.04,28,24,26,,English,3.7,45,77,3.9
85,Male,300, ,520,610,480,1610,3.6,22,24, ,9,English,3.32,45,56,3.76
87,Female,0,131440,520,560,580,1660,3.61,22,24,22,8,English,3.33,47,57,2.56
88,Female,0,350000,480,610,610,1700,3.84, , , ,8,EnglishandAnother,3.76,48,54,3.68
89,Male,0,54000,610,600,710,1920,3.54, , , ,8,English,3.54,20,35,0
90,Female,300,19000,600,640,640,1880,3.65, , , ,8,English,3.34,50,50,3.7
91,Male,0,42000,600,610,550,1760,3.87,26,28,23,8,English,3.62,45,61,3.46
93,Female,0,165000,580,490,540,1610,3.92, , , ,8,English,3.69,72,88,3.9
94,Male,0,30000,530,650,620,1800,3.62, , , ,8,EnglishandAnother,3.45,50,67,3.7
95,Female,0,240000,410,530,450,1390,3.7, , , ,4,Another,3.5,28,31,2.15
96,Male,0,90000,450,780,580,1810,3.53, , , , ,Another,3.53,48,48,4
97,Male,0,85000,600,560,590,1750,3.7, , , ,9,English,3.45,43,47,2.76
98,Female,0,130000, , , , ,3.55,22,22,23,,English,3.55,45,49.5,3.46
99,Male,0,160000,640,580,640,1860,3.81,26,21,28,9,English,3.63,50,82,4
100,Female,0,240000,590,570,610,1770,3.25,27,26,25,,English,3.08,50,58,3.7
101,Female,0, ,630,520,640,1790,3.79, , , ,9,English,3.7,45,57,3.56
102,Male,0,65000,650,490,600,1740,3.31, , , ,8,English,2.95,45,69,3.8
103,Female,300,75000, , , , ,3.66,16,34,19,10,Another,3.37, , , 
104,Female,0,170000,590,560,520,1670,3.86, , , ,4,EnglishandAnother,3.59,45,45,3.3
106,Female,300,27300,450,600,410,1460,3.86, , , ,8,Another,3.86,35,48,3.35
107,Female,0,80000,560,600,580,1740,3.86, , , ,10,English,3.5,47,51,3.61
108,Male,0,200000,490,620,470,1580,3.55,27,24,23,9,English,3.55,43,43,3
109,Male,0,90000,540,580,590,1710,3.95, , , ,8,English,3.75,45,45,3.33
110,Female,0,160000,520,510,660,1690,3.9, , , ,8,EnglishandAnother,3.63,45,53,3.23
111,Female,0,135000,680,620,570,1870,4.2, , , ,4,English,3.87,45,65,3.46
112,Female,0,230000,640,710,620,1970,3.7, , , ,10,English,3.6,46,60,2.87
113,Female,0,144000,480,320,430,1230,3.83,20,16,22, ,English,3.62,35,45,3.76
114,Female,0,75000,620,570,730,1920,4.08, , , ,4,English,3.91,49,81,4
115,Male,0,47000,580,520,460,1560,3.4, , , ,3,Another,3.04,40,69,4
116,Female,300,12480,590,650,470,1710,3.75, , , ,3,Another,3.55,39,59,2
117,Male,0,130000,540,700,570,1810,3.66, , , ,9,English,3.28,52,119,3.91
118,Female,0,100000,480,550,570,1600,3.85, , , ,9,English,3.45,45,57,3.52
120,Male,0,34884,690,660,550,1900,3.8, , , ,8,English,3.6,40,61,3
121,Female,0,128000,530,590,690,1810,4,22,25,25,,English,3.68,51,51,3.52
122,Male,0, ,570,610,500,1680,3.75,24,27,26,8,EnglishandAnother,3.35,42,63,3.33
123,Male,300,16400,470,610,520,1600,3.87, , , ,,Another,3.62,47,47,2.56
124,Female,300,37500,640,510,630,1780,4.11,34,25,27,5,English,3.88,42,58,3.53
126,Male,300,25000,400,480,490,1370,3.72,16,17,22,4,English,3.54,45,53,3.1
127,Female,0,75000,600,530,570,1700,4,28,25, ,5,English,3.81,35,35,2.35
128,Male,0,50000,590,630,610,1830,3.65, , , ,10,EnglishandAnother,3.43,40,55,3.85
129,Female,0,120000,630,670,650,1950,3.76, , , ,10,EnglishandAnother,3.46,50,70,3.08
