Using all features
below threshold:  319  above:  350
train_data_percent,test_data_percent,train_instance_count,,clf_train_acc,clf_test_acc,base_train_acc,base_test_acc
0.02,0.98,10,,0.6,0.428571428571,0.6,0.5
0.025,0.975,12,,0.416666666667,0.39880952381,0.416666666667,0.511904761905
0.03,0.97,15,,0.6,0.607142857143,0.6,0.517857142857
0.035,0.965,17,,0.588235294118,0.571428571429,0.294117647059,0.517857142857
0.04,0.96,20,,0.5,0.458333333333,0.35,0.482142857143
0.045,0.955,22,,0.590909090909,0.446428571429,0.272727272727,0.47619047619
0.05,0.95,25,,0.64,0.428571428571,0.52,0.559523809524
0.055,0.945,27,,0.666666666667,0.440476190476,0.518518518519,0.547619047619
0.06,0.94,30,,0.666666666667,0.440476190476,0.466666666667,0.505952380952
0.065,0.935,32,,0.65625,0.428571428571,0.5625,0.470238095238
0.07,0.93,35,,0.685714285714,0.428571428571,0.457142857143,0.404761904762
0.075,0.925,37,,0.648648648649,0.428571428571,0.459459459459,0.464285714286
0.08,0.92,40,,0.625,0.440476190476,0.6,0.505952380952
0.085,0.915,42,,0.642857142857,0.446428571429,0.547619047619,0.535714285714
0.09,0.91,45,,0.644444444444,0.446428571429,0.466666666667,0.446428571429
0.095,0.905,47,,0.63829787234,0.464285714286,0.446808510638,0.511904761905
0.1,0.9,50,,0.62,0.482142857143,0.54,0.470238095238
0.105,0.895,52,,0.634615384615,0.482142857143,0.461538461538,0.482142857143
0.11,0.89,55,,0.654545454545,0.52380952381,0.454545454545,0.440476190476
0.115,0.885,57,,0.666666666667,0.511904761905,0.491228070175,0.47619047619
0.12,0.88,60,,0.666666666667,0.511904761905,0.433333333333,0.529761904762
0.125,0.875,62,,0.645161290323,0.535714285714,0.564516129032,0.535714285714
0.13,0.87,65,,0.661538461538,0.541666666667,0.461538461538,0.529761904762
0.135,0.865,67,,0.671641791045,0.541666666667,0.44776119403,0.511904761905
0.14,0.86,70,,0.657142857143,0.529761904762,0.457142857143,0.541666666667
0.145,0.855,72,,0.666666666667,0.547619047619,0.541666666667,0.511904761905
0.15,0.85,75,,0.626666666667,0.577380952381,0.52,0.571428571429
0.155,0.845,77,,0.623376623377,0.583333333333,0.532467532468,0.458333333333
0.16,0.84,80,,0.65,0.589285714286,0.45,0.482142857143
0.165,0.835,82,,0.670731707317,0.60119047619,0.560975609756,0.47619047619
0.17,0.83,85,,0.635294117647,0.607142857143,0.505882352941,0.559523809524
0.175,0.825,87,,0.655172413793,0.577380952381,0.597701149425,0.517857142857
0.18,0.82,90,,0.644444444444,0.613095238095,0.411111111111,0.452380952381
0.185,0.815,92,,0.663043478261,0.595238095238,0.510869565217,0.511904761905
0.19,0.81,95,,0.673684210526,0.595238095238,0.505263157895,0.458333333333
0.195,0.805,97,,0.701030927835,0.583333333333,0.484536082474,0.488095238095
