SAT subject tests and HSGPA
below threshold:  1228  above:  1292
train_data_percent,test_data_percent,train_instance_count,,clf_train_acc,clf_test_acc,base_train_acc,base_test_acc
0.005,0.995,9,,0.555555555556,0.473015873016,0.444444444444,0.487301587302
0.01,0.99,18,,0.666666666667,0.473015873016,0.388888888889,0.471428571429
0.015,0.985,28,,0.678571428571,0.473015873016,0.642857142857,0.51746031746
0.02,0.98,37,,0.594594594595,0.487301587302,0.486486486486,0.485714285714
0.025,0.975,47,,0.553191489362,0.525396825397,0.531914893617,0.504761904762
0.03,0.97,56,,0.696428571429,0.514285714286,0.535714285714,0.546031746032
0.035,0.965,66,,0.636363636364,0.522222222222,0.439393939394,0.528571428571
0.04,0.96,75,,0.64,0.496825396825,0.546666666667,0.460317460317
0.045,0.955,85,,0.694117647059,0.51746031746,0.576470588235,0.503174603175
0.05,0.95,94,,0.712765957447,0.546031746032,0.574468085106,0.484126984127
0.055,0.945,103,,0.68932038835,0.552380952381,0.456310679612,0.520634920635
0.06,0.94,113,,0.663716814159,0.557142857143,0.46017699115,0.493650793651
0.065,0.935,122,,0.66393442623,0.57619047619,0.540983606557,0.530158730159
0.07,0.93,132,,0.666666666667,0.579365079365,0.522727272727,0.504761904762
0.075,0.925,141,,0.666666666667,0.574603174603,0.468085106383,0.503174603175
0.08,0.92,151,,0.662251655629,0.588888888889,0.516556291391,0.507936507937
0.085,0.915,160,,0.66875,0.569841269841,0.50625,0.504761904762
0.09,0.91,170,,0.670588235294,0.573015873016,0.517647058824,0.490476190476
0.095,0.905,179,,0.664804469274,0.579365079365,0.502793296089,0.503174603175
0.1,0.9,189,,0.661375661376,0.584126984127,0.555555555556,0.48253968254
0.105,0.895,198,,0.671717171717,0.590476190476,0.530303030303,0.490476190476
0.11,0.89,207,,0.676328502415,0.595238095238,0.507246376812,0.453968253968
0.115,0.885,217,,0.668202764977,0.593650793651,0.589861751152,0.498412698413
0.12,0.88,226,,0.66814159292,0.598412698413,0.513274336283,0.525396825397
0.125,0.875,236,,0.665254237288,0.592063492063,0.495762711864,0.487301587302
0.13,0.87,245,,0.677551020408,0.58253968254,0.50612244898,0.501587301587
0.135,0.865,255,,0.690196078431,0.593650793651,0.498039215686,0.460317460317
0.14,0.86,264,,0.685606060606,0.58253968254,0.458333333333,0.533333333333
0.145,0.855,274,,0.697080291971,0.579365079365,0.470802919708,0.528571428571
0.15,0.85,283,,0.6925795053,0.588888888889,0.491166077739,0.526984126984
0.155,0.845,292,,0.684931506849,0.596825396825,0.503424657534,0.496825396825
0.16,0.84,302,,0.685430463576,0.6,0.490066225166,0.51746031746
0.165,0.835,311,,0.691318327974,0.596825396825,0.485530546624,0.490476190476
0.17,0.83,321,,0.685358255452,0.603174603175,0.557632398754,0.469841269841
0.175,0.825,330,,0.687878787879,0.601587301587,0.490909090909,0.503174603175
0.18,0.82,340,,0.691176470588,0.6,0.505882352941,0.504761904762
0.185,0.815,349,,0.687679083095,0.6,0.487106017192,0.484126984127
0.19,0.81,359,,0.676880222841,0.607936507937,0.523676880223,0.493650793651
0.195,0.805,368,,0.676630434783,0.606349206349,0.513586956522,0.509523809524
0.2,0.8,378,,0.68253968254,0.601587301587,0.505291005291,0.495238095238
0.205,0.795,387,,0.684754521964,0.6,0.509043927649,0.511111111111
0.21,0.79,396,,0.681818181818,0.595238095238,0.542929292929,0.484126984127
0.215,0.785,406,,0.694581280788,0.596825396825,0.522167487685,0.503174603175
0.22,0.78,415,,0.703614457831,0.596825396825,0.467469879518,0.538095238095
0.225,0.775,425,,0.696470588235,0.596825396825,0.555294117647,0.477777777778
0.23,0.77,434,,0.688940092166,0.587301587302,0.481566820276,0.503174603175
0.235,0.765,444,,0.686936936937,0.584126984127,0.484234234234,0.47619047619
0.24,0.76,453,,0.686534216336,0.587301587302,0.490066225166,0.485714285714
0.245,0.755,463,,0.686825053996,0.58253968254,0.496760259179,0.530158730159
0.25,0.75,472,,0.688559322034,0.58253968254,0.527542372881,0.47619047619
0.255,0.745,481,,0.681912681913,0.585714285714,0.505197505198,0.490476190476
