Using gender, firstgen, famincome, firstlang
below threshold:  1317  above:  1343
train_data_percent,test_data_percent,train_instance_count,,clf_train_acc,clf_test_acc,base_train_acc,base_test_acc
0.005,0.995,9,,0.555555555556,0.494736842105,0.333333333333,0.503759398496
0.01,0.99,19,,0.736842105263,0.571428571429,0.526315789474,0.52030075188
0.015,0.985,29,,0.620689655172,0.568421052632,0.379310344828,0.503759398496
0.02,0.98,39,,0.589743589744,0.563909774436,0.461538461538,0.470676691729
0.025,0.975,49,,0.714285714286,0.572932330827,0.387755102041,0.50977443609
0.03,0.97,59,,0.661016949153,0.587969924812,0.457627118644,0.502255639098
0.035,0.965,69,,0.623188405797,0.575939849624,0.521739130435,0.50977443609
0.04,0.96,79,,0.683544303797,0.566917293233,0.518987341772,0.497744360902
0.045,0.955,89,,0.640449438202,0.563909774436,0.449438202247,0.494736842105
0.05,0.95,99,,0.646464646465,0.572932330827,0.585858585859,0.506766917293
0.055,0.945,109,,0.642201834862,0.566917293233,0.477064220183,0.512781954887
0.06,0.94,119,,0.663865546218,0.554887218045,0.487394957983,0.491729323308
0.065,0.935,129,,0.682170542636,0.55037593985,0.472868217054,0.499248120301
0.07,0.93,139,,0.690647482014,0.548872180451,0.330935251799,0.526315789474
0.075,0.925,149,,0.691275167785,0.547368421053,0.510067114094,0.521804511278
0.08,0.92,159,,0.660377358491,0.554887218045,0.509433962264,0.47969924812
0.085,0.915,169,,0.650887573964,0.559398496241,0.437869822485,0.497744360902
0.09,0.91,179,,0.659217877095,0.542857142857,0.541899441341,0.493233082707
0.095,0.905,189,,0.640211640212,0.563909774436,0.513227513228,0.50977443609
0.1,0.9,199,,0.64824120603,0.551879699248,0.492462311558,0.505263157895
0.105,0.895,209,,0.636363636364,0.556390977444,0.497607655502,0.523308270677
0.11,0.89,219,,0.657534246575,0.55037593985,0.438356164384,0.473684210526
0.115,0.885,229,,0.663755458515,0.560902255639,0.524017467249,0.499248120301
0.12,0.88,239,,0.665271966527,0.544360902256,0.510460251046,0.526315789474
0.125,0.875,249,,0.686746987952,0.55037593985,0.55421686747,0.499248120301
0.13,0.87,259,,0.675675675676,0.55037593985,0.513513513514,0.484210526316
0.135,0.865,269,,0.676579925651,0.553383458647,0.446096654275,0.526315789474
0.14,0.86,279,,0.688172043011,0.542857142857,0.501792114695,0.470676691729
0.145,0.855,289,,0.671280276817,0.545864661654,0.484429065744,0.514285714286
0.15,0.85,299,,0.682274247492,0.553383458647,0.511705685619,0.485714285714
0.155,0.845,309,,0.673139158576,0.541353383459,0.478964401294,0.499248120301
0.16,0.84,319,,0.677115987461,0.542857142857,0.48275862069,0.494736842105
0.165,0.835,329,,0.677811550152,0.535338345865,0.48632218845,0.511278195489
0.17,0.83,339,,0.690265486726,0.542857142857,0.492625368732,0.524812030075
0.175,0.825,349,,0.699140401146,0.55037593985,0.567335243553,0.532330827068
0.18,0.82,359,,0.690807799443,0.551879699248,0.506963788301,0.518796992481
0.185,0.815,369,,0.691056910569,0.535338345865,0.476964769648,0.497744360902
0.19,0.81,379,,0.688654353562,0.538345864662,0.469656992084,0.491729323308
0.195,0.805,389,,0.683804627249,0.55037593985,0.467866323907,0.493233082707
