SAT subject tests and HSGPA
below threshold:  1228  above:  1292
train_data_percent,test_data_percent,train_instance_count,,clf_train_acc,clf_test_acc,base_train_acc,base_test_acc
0.005,0.995,9,,0.777777777778,0.419047619048,0.666666666667,0.525396825397
0.01,0.99,18,,0.777777777778,0.450793650794,0.444444444444,0.471428571429
0.015,0.985,28,,0.678571428571,0.493650793651,0.464285714286,0.485714285714
0.02,0.98,37,,0.675675675676,0.439682539683,0.324324324324,0.473015873016
0.025,0.975,47,,0.63829787234,0.47619047619,0.510638297872,0.509523809524
0.03,0.97,56,,0.625,0.509523809524,0.482142857143,0.503174603175
0.035,0.965,66,,0.606060606061,0.520634920635,0.409090909091,0.463492063492
0.04,0.96,75,,0.586666666667,0.552380952381,0.4,0.504761904762
0.045,0.955,85,,0.6,0.55873015873,0.529411764706,0.547619047619
0.05,0.95,94,,0.627659574468,0.58253968254,0.457446808511,0.495238095238
0.055,0.945,103,,0.621359223301,0.596825396825,0.582524271845,0.520634920635
0.06,0.94,113,,0.619469026549,0.604761904762,0.469026548673,0.493650793651
0.065,0.935,122,,0.614754098361,0.612698412698,0.516393442623,0.488888888889
0.07,0.93,132,,0.606060606061,0.604761904762,0.477272727273,0.51746031746
0.075,0.925,141,,0.602836879433,0.611111111111,0.510638297872,0.490476190476
0.08,0.92,151,,0.602649006623,0.607936507937,0.496688741722,0.511111111111
0.085,0.915,160,,0.6,0.620634920635,0.5125,0.468253968254
0.09,0.91,170,,0.605882352941,0.612698412698,0.5,0.504761904762
0.095,0.905,179,,0.614525139665,0.603174603175,0.491620111732,0.465079365079
0.1,0.9,189,,0.613756613757,0.606349206349,0.507936507937,0.496825396825
0.105,0.895,198,,0.621212121212,0.604761904762,0.469696969697,0.488888888889
0.11,0.89,207,,0.623188405797,0.614285714286,0.51690821256,0.503174603175
0.115,0.885,217,,0.612903225806,0.614285714286,0.483870967742,0.511111111111
0.12,0.88,226,,0.628318584071,0.604761904762,0.522123893805,0.503174603175
0.125,0.875,236,,0.614406779661,0.606349206349,0.512711864407,0.496825396825
0.13,0.87,245,,0.620408163265,0.606349206349,0.530612244898,0.515873015873
0.135,0.865,255,,0.623529411765,0.612698412698,0.498039215686,0.52380952381
0.14,0.86,264,,0.628787878788,0.595238095238,0.496212121212,0.507936507937
0.145,0.855,274,,0.620437956204,0.603174603175,0.514598540146,0.538095238095
0.15,0.85,283,,0.625441696113,0.606349206349,0.484098939929,0.522222222222
0.155,0.845,292,,0.63698630137,0.607936507937,0.465753424658,0.5
0.16,0.84,302,,0.629139072848,0.609523809524,0.460264900662,0.509523809524
0.165,0.835,311,,0.627009646302,0.607936507937,0.472668810289,0.496825396825
0.17,0.83,321,,0.626168224299,0.609523809524,0.548286604361,0.496825396825
0.175,0.825,330,,0.630303030303,0.612698412698,0.521212121212,0.51746031746
0.18,0.82,340,,0.623529411765,0.612698412698,0.541176470588,0.511111111111
0.185,0.815,349,,0.624641833811,0.609523809524,0.507163323782,0.492063492063
0.19,0.81,359,,0.618384401114,0.612698412698,0.467966573816,0.520634920635
0.195,0.805,368,,0.614130434783,0.61746031746,0.494565217391,0.512698412698
