SAT subject tests and HSGPA
below threshold:  1228  above:  1292
train_data_percent,test_data_percent,train_instance_count,,clf_train_acc,clf_test_acc,base_train_acc,base_test_acc
0.005,0.995,9,,1.0,0.404761904762,0.555555555556,0.493650793651
0.01,0.99,18,,0.833333333333,0.465079365079,0.5,0.515873015873
0.015,0.985,28,,0.75,0.487301587302,0.5,0.47619047619
0.02,0.98,37,,0.783783783784,0.460317460317,0.648648648649,0.568253968254
0.025,0.975,47,,0.68085106383,0.484126984127,0.446808510638,0.515873015873
0.03,0.97,56,,0.642857142857,0.51746031746,0.482142857143,0.47619047619
0.035,0.965,66,,0.621212121212,0.522222222222,0.530303030303,0.485714285714
0.04,0.96,75,,0.64,0.546031746032,0.613333333333,0.47619047619
0.045,0.955,85,,0.658823529412,0.54126984127,0.447058823529,0.509523809524
0.05,0.95,94,,0.63829787234,0.560317460317,0.489361702128,0.487301587302
0.055,0.945,103,,0.592233009709,0.569841269841,0.640776699029,0.496825396825
0.06,0.94,113,,0.601769911504,0.577777777778,0.495575221239,0.498412698413
0.065,0.935,122,,0.631147540984,0.566666666667,0.516393442623,0.512698412698
0.07,0.93,132,,0.621212121212,0.58253968254,0.477272727273,0.536507936508
0.075,0.925,141,,0.63829787234,0.571428571429,0.560283687943,0.496825396825
0.08,0.92,151,,0.635761589404,0.584126984127,0.523178807947,0.511111111111
0.085,0.915,160,,0.6,0.584126984127,0.51875,0.514285714286
0.09,0.91,170,,0.605882352941,0.6,0.423529411765,0.51746031746
0.095,0.905,179,,0.625698324022,0.603174603175,0.480446927374,0.512698412698
0.1,0.9,189,,0.634920634921,0.604761904762,0.507936507937,0.51746031746
0.105,0.895,198,,0.621212121212,0.6,0.494949494949,0.495238095238
0.11,0.89,207,,0.623188405797,0.598412698413,0.541062801932,0.496825396825
0.115,0.885,217,,0.617511520737,0.604761904762,0.534562211982,0.479365079365
0.12,0.88,226,,0.597345132743,0.6,0.504424778761,0.512698412698
0.125,0.875,236,,0.597457627119,0.609523809524,0.440677966102,0.493650793651
0.13,0.87,245,,0.608163265306,0.606349206349,0.477551020408,0.498412698413
0.135,0.865,255,,0.61568627451,0.612698412698,0.490196078431,0.490476190476
0.14,0.86,264,,0.628787878788,0.563492063492,0.496212121212,0.512698412698
0.145,0.855,274,,0.64598540146,0.590476190476,0.463503649635,0.507936507937
0.15,0.85,283,,0.657243816254,0.587301587302,0.508833922261,0.520634920635
0.155,0.845,292,,0.640410958904,0.6,0.554794520548,0.519047619048
0.16,0.84,302,,0.645695364238,0.603174603175,0.496688741722,0.495238095238
0.165,0.835,311,,0.639871382637,0.61746031746,0.488745980707,0.509523809524
0.17,0.83,321,,0.638629283489,0.614285714286,0.495327102804,0.503174603175
0.175,0.825,330,,0.642424242424,0.622222222222,0.515151515152,0.48253968254
0.18,0.82,340,,0.65,0.619047619048,0.467647058824,0.47619047619
0.185,0.815,349,,0.647564469914,0.607936507937,0.498567335244,0.526984126984
0.19,0.81,359,,0.637883008357,0.615873015873,0.481894150418,0.506349206349
0.195,0.805,368,,0.627717391304,0.611111111111,0.464673913043,0.509523809524
