SAT subject tests and HSGPA
below threshold:  1228  above:  1292
train_data_percent,test_data_percent,train_instance_count,,clf_train_acc,clf_test_acc,base_train_acc,base_test_acc
0.005,0.995,9,,1.0,0.404761904762,0.555555555556,0.480952380952
0.01,0.99,18,,0.833333333333,0.465079365079,0.388888888889,0.501587301587
0.015,0.985,28,,0.75,0.487301587302,0.428571428571,0.504761904762
0.02,0.98,37,,0.783783783784,0.460317460317,0.513513513514,0.520634920635
0.025,0.975,47,,0.68085106383,0.484126984127,0.531914893617,0.501587301587
0.03,0.97,56,,0.642857142857,0.51746031746,0.517857142857,0.515873015873
0.035,0.965,66,,0.621212121212,0.522222222222,0.469696969697,0.511111111111
0.04,0.96,75,,0.64,0.546031746032,0.506666666667,0.546031746032
0.045,0.955,85,,0.658823529412,0.54126984127,0.505882352941,0.465079365079
0.05,0.95,94,,0.63829787234,0.560317460317,0.563829787234,0.526984126984
0.055,0.945,103,,0.592233009709,0.569841269841,0.495145631068,0.487301587302
0.06,0.94,113,,0.601769911504,0.577777777778,0.530973451327,0.47619047619
0.065,0.935,122,,0.631147540984,0.566666666667,0.5,0.507936507937
0.07,0.93,132,,0.621212121212,0.58253968254,0.409090909091,0.538095238095
0.075,0.925,141,,0.63829787234,0.571428571429,0.560283687943,0.501587301587
0.08,0.92,151,,0.635761589404,0.584126984127,0.523178807947,0.485714285714
0.085,0.915,160,,0.6,0.584126984127,0.46875,0.514285714286
0.09,0.91,170,,0.605882352941,0.6,0.476470588235,0.496825396825
0.095,0.905,179,,0.625698324022,0.603174603175,0.474860335196,0.512698412698
0.1,0.9,189,,0.634920634921,0.604761904762,0.507936507937,0.492063492063
0.105,0.895,198,,0.621212121212,0.6,0.515151515152,0.488888888889
0.11,0.89,207,,0.623188405797,0.598412698413,0.512077294686,0.511111111111
0.115,0.885,217,,0.617511520737,0.604761904762,0.470046082949,0.515873015873
0.12,0.88,226,,0.597345132743,0.6,0.53982300885,0.515873015873
0.125,0.875,236,,0.597457627119,0.609523809524,0.542372881356,0.507936507937
0.13,0.87,245,,0.608163265306,0.606349206349,0.436734693878,0.515873015873
0.135,0.865,255,,0.61568627451,0.612698412698,0.505882352941,0.503174603175
0.14,0.86,264,,0.628787878788,0.563492063492,0.537878787879,0.52380952381
0.145,0.855,274,,0.64598540146,0.590476190476,0.529197080292,0.495238095238
0.15,0.85,283,,0.657243816254,0.587301587302,0.515901060071,0.484126984127
0.155,0.845,292,,0.640410958904,0.6,0.527397260274,0.492063492063
0.16,0.84,302,,0.645695364238,0.603174603175,0.493377483444,0.520634920635
0.165,0.835,311,,0.639871382637,0.61746031746,0.508038585209,0.501587301587
0.17,0.83,321,,0.638629283489,0.614285714286,0.457943925234,0.51746031746
0.175,0.825,330,,0.642424242424,0.622222222222,0.478787878788,0.468253968254
0.18,0.82,340,,0.65,0.619047619048,0.511764705882,0.495238095238
0.185,0.815,349,,0.647564469914,0.607936507937,0.484240687679,0.485714285714
0.19,0.81,359,,0.637883008357,0.615873015873,0.50139275766,0.51746031746
0.195,0.805,368,,0.627717391304,0.611111111111,0.527173913043,0.514285714286
