Using gender, firstgen, famincome, firstlang
below threshold:  1317  above:  1343
train_data_percent,test_data_percent,train_instance_count,,clf_train_acc,clf_test_acc,base_train_acc,base_test_acc
0.005,0.995,9,,1.0,0.566917293233,0.444444444444,0.487218045113
0.01,0.99,19,,0.894736842105,0.56992481203,0.684210526316,0.503759398496
0.015,0.985,29,,0.758620689655,0.562406015038,0.448275862069,0.478195488722
0.02,0.98,39,,0.74358974359,0.56992481203,0.410256410256,0.499248120301
0.025,0.975,49,,0.734693877551,0.577443609023,0.469387755102,0.482706766917
0.03,0.97,59,,0.694915254237,0.578947368421,0.64406779661,0.485714285714
0.035,0.965,69,,0.666666666667,0.575939849624,0.507246376812,0.496240601504
0.04,0.96,79,,0.658227848101,0.563909774436,0.430379746835,0.523308270677
0.045,0.955,89,,0.629213483146,0.559398496241,0.550561797753,0.505263157895
0.05,0.95,99,,0.636363636364,0.565413533835,0.545454545455,0.502255639098
0.055,0.945,109,,0.642201834862,0.581954887218,0.467889908257,0.493233082707
0.06,0.94,119,,0.655462184874,0.574436090226,0.495798319328,0.478195488722
0.065,0.935,129,,0.658914728682,0.572932330827,0.434108527132,0.52030075188
0.07,0.93,139,,0.661870503597,0.571428571429,0.453237410072,0.488721804511
0.075,0.925,149,,0.651006711409,0.562406015038,0.510067114094,0.478195488722
0.08,0.92,159,,0.654088050314,0.562406015038,0.509433962264,0.505263157895
0.085,0.915,169,,0.662721893491,0.563909774436,0.538461538462,0.524812030075
0.09,0.91,179,,0.659217877095,0.563909774436,0.530726256983,0.502255639098
0.095,0.905,189,,0.634920634921,0.566917293233,0.47619047619,0.523308270677
0.1,0.9,199,,0.633165829146,0.566917293233,0.427135678392,0.47969924812
0.105,0.895,209,,0.631578947368,0.566917293233,0.535885167464,0.512781954887
0.11,0.89,219,,0.630136986301,0.566917293233,0.529680365297,0.518796992481
0.115,0.885,229,,0.633187772926,0.568421052632,0.475982532751,0.512781954887
0.12,0.88,239,,0.627615062762,0.571428571429,0.531380753138,0.511278195489
0.125,0.875,249,,0.630522088353,0.571428571429,0.5140562249,0.499248120301
0.13,0.87,259,,0.660231660232,0.575939849624,0.555984555985,0.473684210526
0.135,0.865,269,,0.657992565056,0.578947368421,0.498141263941,0.485714285714
0.14,0.86,279,,0.652329749104,0.575939849624,0.541218637993,0.473684210526
0.145,0.855,289,,0.667820069204,0.577443609023,0.494809688581,0.524812030075
0.15,0.85,299,,0.66220735786,0.578947368421,0.461538461538,0.532330827068
0.155,0.845,309,,0.663430420712,0.578947368421,0.47572815534,0.49022556391
0.16,0.84,319,,0.639498432602,0.56992481203,0.504702194357,0.488721804511
0.165,0.835,329,,0.63829787234,0.56992481203,0.465045592705,0.515789473684
0.17,0.83,339,,0.637168141593,0.56992481203,0.501474926254,0.485714285714
0.175,0.825,349,,0.636103151862,0.568421052632,0.489971346705,0.475187969925
0.18,0.82,359,,0.632311977716,0.566917293233,0.493036211699,0.517293233083
0.185,0.815,369,,0.626016260163,0.566917293233,0.485094850949,0.542857142857
0.19,0.81,379,,0.617414248021,0.566917293233,0.540897097625,0.515789473684
0.195,0.805,389,,0.616966580977,0.566917293233,0.503856041131,0.496240601504
